"0234520","C0234520","Ellis","P","M","120","C","RGT","","","","",""
"0563543","C0563543","Moss","S","M","301","C","RGT","","","","",""
"0826781","C0826781","Thirunavukkarasu","S","F","824","C","RGT","","","","",""
"1269314","C1269314","Ewan","P","F","325","C","RGT","","","","",""
"1340022","C1340022","Forbes","P","M","500","C","RGT","","","","",""
"1395228","C1395228","Constant","C","M","110","C","RGT","","","","",""
"1480614","C1480614","Verity","C","M","420","C","RGT","","","","",""
"2245537","C2245537","Meyer","P","M","130","C","RGT","","","","",""
"2248523","C2248523","Campbell","G","M","430","C","RGT","","","","",""
"2258661","C2258661","Gimson","A","M","300","C","RGT","","","","",""
"2272566","C2272566","Berman","L","M","810","C","RGT","","","","",""
"2303004","C2303004","Alexander","G","M","300","C","RGT","","","","",""
"2330923","C2330923","Grant","J","M","824","C","RGT","","","","",""
"2335313","C2335313","Perry","D","M","823","C","RGT","","","","",""
"2383316","C2383316","Sarkies","N","M","130","C","RGT","","","","",""
"2441670","C2441670","Jamieson","N","M","300","C","RGT","","","","",""
"2442626","C2442626","Moseley","R","M","824","C","RGT","","","","",""
"2444161","C2444161","Forsyth","D","M","430","C","RGT","","","","",""
"2457745","C2457745","Miller","R","M","100","C","RGT","","","","",""
"2469270","C2469270","Williams","M","M","171","C","RGT","","","","",""
"2475888","C2475888","Griffiths","M","F","824","C","RGT","","","","",""
"2493770","C2493770","Nicholl","C","F","430","C","RGT","","","","",""
"2526904","C2526904","Higgins","J","M","810","C","RGT","","","","",""
"2544968","C2544968","Wallis","M","M","810","C","RGT","","","","",""
"2555904","C2555904","Craig","J","F","800","C","RGT","","","","",""
"2569785","C2569785","Galbraith","P","F","315","C","RGT","","","","",""
"2580711","C2580711","Roe","P","M","190","C","RGT","","","","",""
"2597272","C2597272","Ross Russell","R","M","420","C","RGT","","","","",""
"2619996","C2619996","MacDougall","M","F","500","C","RGT","","","","",""
"2628057","C2628057","Maimaris","C","M","180","C","RGT","","","","",""
"2645319","C2645319","Williams","D","F","420","C","RGT","","","","",""
"2648934","C2648934","Doble","A","M","101","C","RGT","","","","",""
"2656324","C2656324","Hackett","G","M","500","C","RGT","","","","",""
"2660260","C2660260","Wilson","C","M","800","C","RGT","","","","",""
"2702067","C2702067","Conlan","D","M","150","C","RGT","","","","",""
"2707945","C2707945","Baglin","T","M","823","C","RGT","","","","",""
"2710378","C2710378","Shafi","M","M","500","C","RGT","","","","",""
"2716594","C2716594","Bradley","J","M","361","C","RGT","","","","",""
"2720966","C2720966","Norris","P","M","330","C","RGT","","","","",""
"2723691","C2723691","Patterson","A","F","824","C","RGT","","","","",""
"2724300","C2724300","Firth","J","M","361","C","RGT","","","","",""
"2735425","C2735425","Firth","H","F","311","C","RGT","","","","",""
"2745075","C2745075","Macfarlane","R","M","150","C","RGT","","","","",""
"2782056","C2782056","Ahmad","T","M","171","C","RGT","","","","",""
"2819916","C2819916","Paterson","J","F","311","C","RGT","","","","",""
"2824310","C2824310","Ogilvy-Stuart","A","F","420","C","RGT","","","","",""
"2824901","C2824901","O'Donovan","D","M","400","C","RGT","","","","",""
"2825421","C2825421","Laing","R","M","150","C","RGT","","","","",""
"2829913","C2829913","Sartori","P","F","420","C","RGT","","","","",""
"2839219","C2839219","Munday","I","M","190","C","RGT","","","","",""
"2842233","C2842233","Davies","S","F","824","C","RGT","","","","",""
"2843069","C2843069","Brennan","L","M","190","C","RGT","","","","",""
"2848662","C2848662","Turner","W","M","101","C","RGT","","","","",""
"2853743","C2853743","Cluroe","A","F","824","C","RGT","","","","",""
"2855587","C2855587","Buscombe","J","M","371","C","RGT","","","","",""
"2866413","C2866413","Hall","P","M","171","C","RGT","","","","",""
"2888811","C2888811","Edwards","D","M","110","C","RGT","","","","",""
"2932497","C2932497","Carmichael","A","M","350","C","RGT","","","","",""
"2935940","C2935940","Kirkpatrick","P","M","150","C","RGT","","","","",""
"2938871","C2938871","Tew","D","M","190","C","RGT","","","","",""
"2939896","C2939896","Middleton","S","M","301","C","RGT","","","","",""
"2953722","C2953722","Forouhi","P","M","800","C","RGT","","","","",""
"2954046","C2954046","Simmons","D","M","302","C","RGT","","","","",""
"2955920","C2955920","Benson","J","M","800","C","RGT","","","","",""
"2956213","C2956213","Todd","P","F","330","C","RGT","","","","",""
"2980878","C2980878","Rytina","E","M","824","C","RGT","","","","",""
"2981453","C2981453","Snead","M","M","130","C","RGT","","","","",""
"3001822","C3001822","Pickett","J","F","190","C","RGT","","","","",""
"3032082","C3032082","Kumararatne","D","M","313","C","RGT","","","","",""
"3043248","C3043248","Noble-Jamieson","G","F","420","C","RGT","","","","",""
"3046791","C3046791","Slack","M","M","500","C","RGT","","","","",""
"3069059","C3069059","Manford","M","M","400","C","RGT","","","","",""
"3069121","C3069121","Burrows","N","M","330","C","RGT","","","","",""
"3073081","C3073081","Set","P","F","810","C","RGT","","","","",""
"3080528","C3080528","Robinson","S","F","180","C","RGT","","","","",""
"3083624","C3083624","Crawford","R","M","500","C","RGT","","","","",""
"3085585","C3085585","Wade","R","F","315","C","RGT","","","","",""
"3089156","C3089156","Varty","K","M","100","C","RGT","","","","",""
"3090374","C3090374","Nasser","S","M","325","C","RGT","","","","",""
"3106057","C3106057","Tan","L","F","800","C","RGT","","","","",""
"3108743","C3108743","Hall","N","M","100","C","RGT","","","","",""
"3122095","C3122095","Gilligan","D","M","800","C","RGT","","","","",""
"3128534","C3128534","Latimer","J","M","500","C","RGT","","","","",""
"3131620","C3131620","Hughes-Davies","L","M","800","C","RGT","","","","",""
"3131888","C3131888","Gupta","A","M","190","C","RGT","","","","",""
"3132607","C3132607","Gattens","M","M","420","C","RGT","","","","",""
